Year,Film_Noir,Action,Adventure,Horror,Romance,War,Western,Documentary,Sci-Fi,Drama,Thriller,no_genres_listed,Crime,Fantasy,Animation,IMAX,Comedy,Mystery,Children,Musical,Total
1950,4,1,2,0,9,1,4,0,0,10,1,0,3,2,1,0,6,4,2,2,52
1951,1,1,3,1,7,3,0,0,4,12,2,0,2,2,1,0,5,0,1,5,50
1952,0,0,2,0,6,1,1,0,1,9,0,0,0,0,0,0,7,0,0,1,28
1953,1,3,3,1,7,2,2,0,2,17,5,0,2,2,2,0,9,1,3,6,68
1954,1,1,3,3,4,1,1,0,4,15,4,0,4,1,1,0,3,2,0,4,52
1955,4,1,1,2,8,4,3,1,2,21,6,0,8,0,1,0,8,4,1,2,77
1956,4,0,5,4,4,1,4,0,6,18,4,0,2,1,0,0,4,1,1,4,63
1957,1,2,2,3,6,4,1,0,5,18,4,1,0,0,0,0,8,1,1,3,60
1958,1,3,4,4,7,3,1,0,4,11,4,0,5,2,0,0,10,2,0,3,64
1959,0,3,5,7,6,8,2,0,7,15,2,0,3,1,1,0,7,2,4,2,75
1960,1,4,3,8,6,4,3,0,4,19,3,0,7,1,0,0,7,2,4,2,78
1961,0,3,6,3,10,3,2,0,3,18,1,0,1,3,1,0,12,0,4,3,73
1962,0,4,7,4,7,4,3,1,3,24,5,0,4,3,0,0,7,1,2,3,82
1963,1,5,9,6,3,4,1,0,4,15,7,0,6,3,1,0,15,2,3,1,86
1964,0,6,6,5,7,7,2,1,3,17,7,0,2,5,3,0,17,3,2,6,99
1965,0,9,9,3,9,4,4,0,4,24,9,0,4,2,3,0,17,4,4,4,113
1966,0,4,5,1,7,6,3,1,3,18,3,0,6,1,3,0,19,2,3,3,88
1967,0,8,5,4,3,1,1,2,3,23,5,0,6,1,1,0,14,3,4,5,89
1968,0,7,9,5,4,3,3,3,7,17,5,1,4,2,7,0,13,2,8,8,108
1969,0,6,6,1,4,4,6,0,1,17,4,0,3,4,5,0,11,1,6,4,83
1970,0,5,3,2,4,7,3,0,1,18,5,0,4,3,3,0,10,2,4,1,75
1971,0,17,6,1,3,2,3,1,5,20,13,0,8,1,2,0,12,6,3,3,106
1972,0,6,5,4,4,1,2,0,6,22,7,0,5,1,1,0,15,3,1,2,85
1973,1,12,6,10,3,1,3,0,9,29,14,0,17,2,5,0,13,3,3,2,133
1974,1,11,5,6,6,0,1,2,2,20,12,0,10,3,1,0,13,4,3,1,101
1975,0,7,7,5,7,1,1,1,7,19,5,0,5,2,1,0,12,4,2,3,89
1976,0,7,8,5,4,3,2,1,4,21,15,0,8,3,1,0,16,6,3,1,108
1977,0,9,12,8,6,6,1,2,4,27,7,1,4,9,6,0,21,3,8,4,138
1978,0,15,8,12,2,4,1,4,8,17,7,0,4,5,3,0,19,4,6,2,121
1979,0,13,10,10,5,3,2,0,12,32,10,0,5,2,3,0,24,3,5,4,143
1980,0,18,12,18,10,3,1,1,14,32,10,1,5,2,1,0,29,6,2,4,169
1981,0,20,15,16,9,5,0,2,12,31,19,0,7,8,5,0,32,7,3,3,194
1982,0,14,10,15,12,3,1,5,11,29,13,0,5,7,6,0,32,6,6,8,183
1983,0,15,9,13,7,2,1,5,10,29,13,0,8,7,5,0,31,4,5,3,167
1984,1,17,18,12,12,5,0,2,18,35,13,0,7,11,4,0,40,2,5,7,209
1985,0,23,31,16,22,5,2,4,18,45,18,0,11,16,4,0,54,7,11,1,288
1986,1,27,24,23,15,4,1,0,19,55,21,0,19,10,9,0,54,7,10,4,303
1987,2,31,17,28,28,8,3,1,20,56,24,0,21,16,9,0,77,7,8,2,358
1988,1,29,18,24,23,7,2,4,17,67,29,0,19,16,11,0,72,10,10,6,365
1989,1,33,16,11,16,5,1,2,17,60,20,0,22,13,9,0,71,6,9,3,315
1990,2,35,20,23,26,8,4,2,17,62,32,1,24,15,6,0,59,6,8,3,353
1991,0,26,18,9,31,1,2,4,13,63,22,0,17,14,6,1,69,10,7,7,320
1992,2,31,12,13,36,4,3,6,10,78,32,1,23,9,8,1,69,5,13,5,361
1993,1,43,19,12,33,5,3,3,14,99,32,0,20,15,9,0,77,12,17,4,418
1994,1,40,30,15,41,6,7,7,11,114,35,0,27,16,12,2,111,8,24,3,510
1995,1,44,29,19,49,14,6,6,19,123,42,2,33,16,12,1,90,18,29,4,557
1996,1,41,35,15,53,3,1,12,21,128,61,1,32,13,9,0,108,10,23,9,576
1997,4,51,26,18,51,7,0,8,22,125,64,0,33,15,11,1,94,21,25,6,582
1998,1,47,30,14,56,8,2,12,28,122,52,0,36,19,17,3,99,11,23,8,588
1999,0,34,19,21,46,4,2,13,17,124,48,0,18,17,8,1,112,14,13,4,515
2000,0,39,23,23,57,7,3,14,19,138,59,0,39,18,18,1,117,8,17,4,604
2001,1,48,26,19,66,13,3,12,17,148,53,0,36,20,17,0,127,19,12,7,644
2002,0,45,37,27,58,8,2,28,27,150,72,0,49,20,13,2,116,21,19,11,705
2003,0,66,32,25,51,11,2,22,23,129,60,0,48,18,20,3,109,21,23,7,670
2004,0,63,44,28,52,13,3,25,31,128,57,0,36,29,18,3,111,19,19,8,687
2005,3,59,43,36,50,12,2,24,19,140,68,0,42,22,15,4,120,17,25,8,709
2006,1,49,38,33,54,10,1,23,25,146,76,0,35,38,26,7,118,25,22,6,733
2006–2007,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2007,0,46,33,43,47,12,3,18,29,141,77,0,40,24,21,6,102,14,14,9,679
2008,0,72,49,23,47,16,5,20,31,113,60,0,40,30,22,8,104,15,22,9,686
2009,1,59,37,41,41,7,2,12,44,131,72,0,39,32,32,10,111,24,17,7,719
2010,1,65,30,24,41,7,5,17,19,102,56,0,23,29,18,15,97,16,17,6,588
2011,2,55,40,19,37,6,2,22,32,108,63,0,25,19,26,20,101,16,19,3,615
2012,1,55,31,27,31,5,1,11,28,92,54,0,32,22,24,25,103,9,10,7,568
2013,0,61,39,22,27,6,1,8,32,98,50,2,35,28,26,29,89,14,8,1,576
2014,0,61,35,27,35,8,3,17,32,117,60,0,38,15,15,14,115,16,15,5,628
2015,0,63,45,36,21,2,4,19,41,101,57,3,30,21,19,1,104,16,14,1,598
2016,0,48,36,16,18,3,1,13,29,69,41,7,15,22,22,0,75,8,13,0,436
2017,0,38,24,13,6,3,2,10,18,45,22,4,13,14,18,0,56,6,9,0,301
2018,0,16,12,4,1,0,0,2,13,9,13,0,6,7,3,0,17,5,3,0,111
